Source,Date,Title,Content,Name,Rating,Version
"CNH Digital",2018-06-22,,"Meu App tava funcionando normalmente mas a CNH provisoria venceu e  solicitei uma nova. O app apresenta ela antiga. O detran informou que ela  ja esta OK no sistema estadual e nacional. Como faco pro app mostrar a CNH nova?  Pronto, Hoje a CNH Digital foi atualizada. Porem, como não há notificação, loguei e percebi que a faixa vermelha com a mensagem &quot;CNH VENCIDA&quot; nao aparecia mais, mas a CNH exibida era a CNH antiga. Eu tive que fazer logoff e loguei novamente, ai sim a CNH nova foi exibida.","Wildes Hanada",4,
"CNH Digital",2018-06-18,,"Muita burocracia e restrições pra realizar o cadastro. Se o intuito era facilitar a vida do cidadão, o tiro saiu pela culatra. É mais simples andar com a CNH física do que se submeter a todo esse perrengue pra conseguir se cadastrar.",Titanis,1,
"CNH Digital",2018-06-08,,"Meses atrás eu baixei o aplicativo e funcionou normalmente, após isso, eu exclui o aplicativo do meu celular. Agora eu baixei novamente (ainda estou com o mesmo dispositivo) mas quando tento entrar, aparece uma mensagem de erro dizendo que o login está feito em outro dispositivo e eu preciso bloquear o acesso do outro dispositivo. Entretanto não fiz login em nenhum outro dispositivo. Vocês têm como resolver isso? Obrigado.","Pedro Pellizzaro",2,
"CNH Digital",2018-06-07,,"Não faz sentido ter que ao Detran para atualizar dados que já estão atualizados... Pura perda de tempo esse app. Não percam tempo com ele.","Marcos Pais",1,
"CNH Digital",2018-06-01,,"O grande impecilio é ter q ir até o cfc, no meu caso só fui pq passei na frente, se não tivesse q ir muito mais gente teria a CNH digital.",Fernanda,4,
"CNH Digital",2018-05-30,,"Processo horrível, muito mais reclamações que elogios aqui no Google Play e, ao invés dos desenvolvedores aceitarem as sugestões, ficam tentando dar justificativas para um processo mais burocrático que a via da CNH em papel. Já ouviram falar em Experiência do Usuário? Coloquem as sugestões no backlog de vocês e façam as melhorias.","Rodrigo Mendes",1,
"CNH Digital",2018-05-29,,"Está pedindo certificado digital e pra isso tem q ir até o cfc. Achei q o negócio fosse todo online, desta forma não vai pra frente.",Fernanda,1,
"CNH Digital",2018-05-24,,"N to conseguindo acessar pois diz que eu tenho q ativar a conta sendo q ja recebi o e-mail e ativei","Em Films Oficial",1,
"CNH Digital",2018-05-23,,"Muito prático. Mas para não ter problemas eu aconselho descaracterizar completamente a CNH antiga antes de se desfazer dela (digo de uma já vencida). Pois há o que considero uma falha grave de segurança. Se interessados em resolver, só responder a essa avaliação.","Willian Fernando",4,
"CNH Digital",2018-05-10,,"Tem que ir ao detran.... Nada prático","Dhiego Hendrix Atencio",1,
